repository,file_path,extension,size_bytes,total_thrust,nvidia_apis,thrust_patterns
neka-nat/cupoch,third_party/flann/algorithms/kdtree_cuda_builder.h,.h,29358,266,19,"{'thrust::': 98, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 98, 'device_vector\\s*<': 64, 'host_vector\\s*<': 1}"
neka-nat/cupoch,third_party/flann/algorithms/kdtree_cuda_3d_index.cu,.cu,36994,276,6,"{'thrust::': 126, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 126, 'device_vector\\s*<': 17}"
neka-nat/cupoch,src/cupoch/visualization/shader/simple_shader.cu,.cu,38301,226,40,"{'thrust::': 110, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 110, 'device_vector\\s*<': 4}"
neka-nat/cupoch,src/cupoch/geometry/down_sample.cu,.cu,20659,211,35,"{'thrust::': 89, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 89, 'device_vector\\s*<': 28}"
neka-nat/cupoch,src/cupoch/collision/collision.cu,.cu,56636,191,51,"{'thrust::': 92, 'thrust\\s*::\\s*\\w+': 92, 'device_vector\\s*<': 5, 'host_vector\\s*<': 2}"
neka-nat/cupoch,src/cupoch/registration/fast_global_registration.cu,.cu,19156,164,25,"{'thrust::': 75, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 75, 'device_vector\\s*<': 9}"
QMCPACK/qmcpack,external_codes/boost_multi/multi/include/boost/multi/adaptors/thrust/test/memory_resource.cu,.cu,11346,228,0,"{'thrust::': 111, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 111, 'thrust\\.h': 1}"
QMCPACK/qmcpack,external_codes/boost_multi/multi/include/boost/multi/adaptors/cuda/cublas/test/all.cu,.cu,83723,208,16,"{'thrust::': 102, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 102, 'thrust\\.h': 1}"
QMCPACK/qmcpack,src/AFQMC/Numerics/detail/CUDA/Kernels/Auwn_Bun_Cuw.cu,.cu,30693,200,0,"{'thrust::': 99, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 99}"
QMCPACK/qmcpack,src/AFQMC/Numerics/detail/HIP/Kernels/Auwn_Bun_Cuw.hip.cpp,.cpp,28877,193,0,"{'thrust::': 96, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 96}"
QMCPACK/qmcpack,src/AFQMC/Numerics/detail/CUDA/Kernels/determinant.cu,.cu,20713,179,0,"{'thrust::': 87, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 87}"
QMCPACK/qmcpack,src/AFQMC/Numerics/detail/CUDA/Kernels/dot_wabn.cu,.cu,17339,160,0,"{'thrust::': 79, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 79}"
QMCPACK/qmcpack,src/AFQMC/Numerics/detail/HIP/Kernels/determinant.hip.cpp,.cpp,20658,156,0,"{'thrust::': 76, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 76}"
QMCPACK/qmcpack,external_codes/boost_multi/multi/include/boost/multi/adaptors/cuda/cublas/context.hpp,.hpp,20403,154,0,"{'thrust::': 76, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 76}"
QMCPACK/qmcpack,src/AFQMC/Numerics/detail/HIP/Kernels/dot_wabn.hip.cpp,.cpp,17008,151,0,"{'thrust::': 75, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 75}"
QMCPACK/qmcpack,src/AFQMC/Numerics/detail/CUDA/Kernels/construct_X.cu,.cu,11868,128,0,"{'thrust::': 63, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 63}"
NVIDIA/cub,test/catch2_test_device_radix_sort_custom.cu,.cu,60982,676,2,"{'thrust::': 259, '#include\\s*<thrust/': 6, 'thrust\\s*::\\s*\\w+': 259, 'device_vector\\s*<': 138, 'host_vector\\s*<': 14}"
NVIDIA/cub,test/test_device_segmented_sort.cu,.cu,60239,376,2,"{'thrust::': 149, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 149, 'device_vector\\s*<': 30, 'host_vector\\s*<': 40}"
NVIDIA/cub,test/test_device_select_if.cu,.cu,37543,187,11,"{'thrust::': 78, '#include\\s*<thrust/': 10, 'thrust\\s*::\\s*\\w+': 78, 'device_vector\\s*<': 21}"
NVIDIA/cub,test/test_device_merge_sort.cu,.cu,11544,179,2,"{'thrust::': 74, '#include\\s*<thrust/': 9, 'thrust\\s*::\\s*\\w+': 74, 'device_vector\\s*<': 22}"
NVIDIA/cub,benchmarks/nvbench_helper/nvbench_helper.cu,.cu,20864,170,9,"{'thrust::': 66, '#include\\s*<thrust/': 10, 'thrust\\s*::\\s*\\w+': 66, 'device_vector\\s*<': 28}"
NVIDIA/cub,test/catch2_test_warp_scan.cu,.cu,23306,156,0,"{'thrust::': 54, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 54, 'device_vector\\s*<': 30, 'host_vector\\s*<': 16}"
NVIDIA/cub,test/test_device_three_way_partition.cu,.cu,19786,150,2,"{'thrust::': 59, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 59, 'device_vector\\s*<': 24, 'host_vector\\s*<': 1}"
NVIDIA/cub,test/test_device_adjacent_difference.cu,.cu,22209,142,4,"{'thrust::': 59, '#include\\s*<thrust/': 9, 'thrust\\s*::\\s*\\w+': 59, 'device_vector\\s*<': 15}"
NVIDIA/cub,test/catch2_test_block_radix_sort.cu,.cu,14816,130,0,"{'thrust::': 50, 'thrust\\s*::\\s*\\w+': 50, 'device_vector\\s*<': 20, 'host_vector\\s*<': 10}"
NVIDIA/cub,test/catch2_test_warp_reduce.cu,.cu,21493,121,4,"{'thrust::': 42, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 42, 'device_vector\\s*<': 18, 'host_vector\\s*<': 16}"
NVIDIA/AMGX,include/cusp/detail/device/conversion.h,.h,36626,453,124,"{'thrust::': 220, '#include\\s*<thrust/': 11, 'thrust\\s*::\\s*\\w+': 220, 'device_vector\\s*<': 2}"
NVIDIA/AMGX,src/aggregation/aggregation_amg_level.cu,.cu,114938,160,25,"{'thrust::': 76, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 76, 'host_vector\\s*<': 1}"
NVIDIA/AMGX,include/distributed/glue.h,.h,47769,160,8,"{'thrust::': 69, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 69, 'host_vector\\s*<': 17}"
NVIDIA/AMGX,src/amgx_c.cu,.cu,183512,158,6,"{'thrust::': 69, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 69, 'host_vector\\s*<': 18}"
NVIDIA/AMGX,src/distributed/distributed_manager.cu,.cu,254496,131,16,"{'thrust::': 62, '#include\\s*<thrust/': 6, 'thrust\\s*::\\s*\\w+': 62, 'host_vector\\s*<': 1}"
NVIDIA/AMGX,src/distributed/distributed_arranger.cu,.cu,150316,131,3,"{'thrust::': 61, '#include\\s*<thrust/': 9, 'thrust\\s*::\\s*\\w+': 61}"
NVIDIA/AMGX,src/aggregation/coarseAgenerators/thrust_coarse_A_generator.cu,.cu,10566,89,26,"{'thrust::': 43, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 43}"
NVIDIA/AMGX,src/solvers/multicolor_ilu_solver.cu,.cu,83468,112,0,"{'thrust::': 55, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 55}"
NVIDIA/AMGX,src/aggregation/selectors/geo_selector.cu,.cu,14700,94,18,"{'thrust::': 45, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 45}"
NVIDIA/AMGX,include/cusp/detail/device/spmm/coo.h,.h,12642,90,21,"{'thrust::': 41, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 41}"
NVIDIA/cuCollections,include/cuco/utility/key_generator.cuh,.cuh,18076,114,10,"{'thrust::': 48, '#include\\s*<thrust/': 12, 'thrust\\s*::\\s*\\w+': 48, 'device_vector\\s*<': 6}"
NVIDIA/cuCollections,tests/dynamic_map/retrieve_all_test.cu,.cu,4797,68,6,"{'thrust::': 26, '#include\\s*<thrust/': 6, 'thrust\\s*::\\s*\\w+': 26, 'device_vector\\s*<': 10}"
NVIDIA/cuCollections,tests/static_set/unique_sequence_test.cu,.cu,6355,44,5,"{'thrust::': 17, '#include\\s*<thrust/': 6, 'thrust\\s*::\\s*\\w+': 17, 'device_vector\\s*<': 4}"
NVIDIA/cuCollections,tests/static_map/duplicate_keys_test.cu,.cu,5241,43,4,"{'thrust::': 15, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 15, 'device_vector\\s*<': 6}"
NVIDIA/cuCollections,tests/static_map/find_test.cu,.cu,7072,39,7,"{'thrust::': 15, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 15, 'device_vector\\s*<': 1}"
NVIDIA/cuCollections,tests/static_multiset/count_test.cu,.cu,7481,37,6,"{'thrust::': 16, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 16, 'device_vector\\s*<': 2}"
NVIDIA/cuCollections,tests/dynamic_map/erase_test.cu,.cu,4708,41,2,"{'thrust::': 16, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 16, 'device_vector\\s*<': 6}"
NVIDIA/cuCollections,tests/static_map/contains_test.cu,.cu,6046,37,6,"{'thrust::': 14, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 14, 'device_vector\\s*<': 2}"
NVIDIA/cuCollections,tests/static_map/custom_type_test.cu,.cu,8421,38,4,"{'thrust::': 14, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 14, 'device_vector\\s*<': 5}"
NVIDIA/cuCollections,tests/static_multimap/find_test.cu,.cu,5193,35,7,"{'thrust::': 14, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 14, 'device_vector\\s*<': 3}"
GooFit/GooFit,src/PDFs/physics/Amp4Body_TD.cu,.cu,41655,160,29,"{'thrust::': 76, 'thrust\\s*::\\s*\\w+': 76, 'device_vector\\s*<': 8}"
GooFit/GooFit,src/PDFs/physics/Amp3Body_TD.cu,.cu,38256,157,30,"{'thrust::': 75, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 75, 'device_vector\\s*<': 6}"
GooFit/GooFit,src/PDFs/physics/Amp4Body.cu,.cu,26941,118,29,"{'thrust::': 55, 'thrust\\s*::\\s*\\w+': 55, 'device_vector\\s*<': 8}"
GooFit/GooFit,src/PDFs/physics/detail/NormEvents_4Body_Base.cu,.cu,13474,121,24,"{'thrust::': 57, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 57, 'device_vector\\s*<': 3}"
GooFit/GooFit,src/PDFs/physics/Amp3Body.cu,.cu,21483,118,24,"{'thrust::': 54, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 54, 'device_vector\\s*<': 8}"
GooFit/GooFit,src/PDFs/GooPdf.cu,.cu,13783,84,15,"{'thrust::': 34, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 34, 'device_vector\\s*<': 2, 'host_vector\\s*<': 6}"
GooFit/GooFit,src/PDFs/physics/Amp3Body_IS.cu,.cu,9380,44,10,"{'thrust::': 20, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 20, 'device_vector\\s*<': 2}"
GooFit/GooFit,include/goofit/detail/ThrustOverride.h,.h,4677,49,3,"{'thrust::': 19, '#include\\s*<thrust/': 11, 'thrust\\s*::\\s*\\w+': 19}"
GooFit/GooFit,src/PDFs/combine/ConvolutionPdf.cu,.cu,13918,40,10,"{'thrust::': 18, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 18, 'device_vector\\s*<': 2}"
GooFit/GooFit,src/PDFs/physics/detail/SpecialDalitzIntegrator.cu,.cu,5576,41,0,"{'thrust::': 20, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 20}"
JanuszBedkowski/gpu_computing_in_robotics,use_cases/common/src/cudaRegularGridDecompositionFunctions.cu,.cu,39219,196,6,"{'thrust::': 98, 'thrust\\s*::\\s*\\w+': 98}"
JanuszBedkowski/gpu_computing_in_robotics,tutorial/lesson_11/src/lesson_11.cu,.cu,55833,72,7,"{'thrust::': 32, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 32}"
JanuszBedkowski/gpu_computing_in_robotics,tutorial/lesson_9/src/lesson_9.cu,.cu,40667,72,7,"{'thrust::': 32, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 32}"
JanuszBedkowski/gpu_computing_in_robotics,tutorial/lesson_10/src/lesson_10.cu,.cu,55269,72,7,"{'thrust::': 32, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 32}"
JanuszBedkowski/gpu_computing_in_robotics,tutorial/lesson_8/src/lesson_8.cu,.cu,31138,42,1,"{'thrust::': 17, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 17}"
JanuszBedkowski/gpu_computing_in_robotics,tutorial/lesson_3/src/lesson_3.cu,.cu,16680,42,1,"{'thrust::': 17, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 17}"
JanuszBedkowski/gpu_computing_in_robotics,tutorial/lesson_2/src/lesson_2.cu,.cu,9814,42,1,"{'thrust::': 17, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 17}"
JanuszBedkowski/gpu_computing_in_robotics,tutorial/lesson_4/src/lesson_4.cu,.cu,13252,42,1,"{'thrust::': 17, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 17}"
JanuszBedkowski/gpu_computing_in_robotics,tutorial/lesson_5/src/lesson_5.cu,.cu,35328,42,1,"{'thrust::': 17, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 17}"
JanuszBedkowski/gpu_computing_in_robotics,tutorial/lesson_1/src/lesson_1.cu,.cu,9120,42,1,"{'thrust::': 17, '#include\\s*<thrust/': 8, 'thrust\\s*::\\s*\\w+': 17}"
cupy/cupy,cupy/cuda/cupy_thrust.cu,.cu,18124,134,9,"{'thrust::': 62, '#include\\s*<thrust/': 9, 'thrust\\s*::\\s*\\w+': 62, 'thrust\\.h': 1}"
cupy/cupy,cupyx/signal/_filtering/_filtering.py,.py,27356,128,0,"{'thrust::': 64, 'thrust\\s*::\\s*\\w+': 64}"
cupy/cupy,cupyx/jit/thrust.py,.py,34711,104,8,"{'thrust::': 51, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 51}"
cupy/cupy,cupy/_core/include/cupy/complex/ccosh.h,.h,7188,46,0,"{'thrust::': 23, 'thrust\\s*::\\s*\\w+': 23}"
cupy/cupy,cupy/cuda/cupy_cub.cu,.cu,40910,42,0,"{'thrust::': 21, 'thrust\\s*::\\s*\\w+': 21}"
cupy/cupy,cupy/_core/include/cupy/complex.cuh,.cuh,2140,40,0,"{'thrust::': 20, 'thrust\\s*::\\s*\\w+': 20}"
cupy/cupy,cupyx/scipy/signal/_upfirdn.py,.py,20805,32,0,"{'thrust::': 16, 'thrust\\s*::\\s*\\w+': 16}"
cupy/cupy,cupyx/scipy/signal/_iir_utils.py,.py,21937,16,0,"{'thrust::': 8, 'thrust\\s*::\\s*\\w+': 8}"
cupy/cupy,cupy/_core/include/cupy/complex/catrig.h,.h,24215,16,0,"{'thrust::': 8, 'thrust\\s*::\\s*\\w+': 8}"
cupy/cupy,cupyx/scipy/special/_complexstuff.py,.py,1465,14,0,"{'thrust::': 7, 'thrust\\s*::\\s*\\w+': 7}"
NVIDIA/MinkowskiEngine,src/coordinate_map_gpu.cu,.cu,101866,209,56,"{'thrust::': 102, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 102}"
NVIDIA/MinkowskiEngine,src/kernel_map.cuh,.cuh,16299,40,8,"{'thrust::': 16, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 16, 'host_vector\\s*<': 3}"
NVIDIA/MinkowskiEngine,src/coordinate_map_functors.cuh,.cuh,7492,33,2,"{'thrust::': 15, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 15}"
NVIDIA/MinkowskiEngine,src/pooling_max_kernel.cu,.cu,16190,25,3,"{'thrust::': 9, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 9}"
NVIDIA/MinkowskiEngine,src/spmm.cu,.cu,24589,16,5,"{'thrust::': 8, 'thrust\\s*::\\s*\\w+': 8}"
NVIDIA/MinkowskiEngine,src/3rdparty/concurrent_unordered_map.cuh,.cuh,21970,18,2,"{'thrust::': 8, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 8}"
NVIDIA/MinkowskiEngine,src/storage.cuh,.cuh,6828,18,0,"{'thrust::': 6, 'thrust\\s*::\\s*\\w+': 6, 'device_vector\\s*<': 6}"
NVIDIA/MinkowskiEngine,src/pooling_avg_kernel.cu,.cu,20998,15,2,"{'thrust::': 4, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 4}"
NVIDIA/MinkowskiEngine,tests/cpp/coordinate_map_gpu_test.cu,.cu,10238,15,0,"{'thrust::': 6, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 6}"
NVIDIA/MinkowskiEngine,src/broadcast_kernel.cu,.cu,21596,6,1,"{'thrust::': 3, 'thrust\\s*::\\s*\\w+': 3}"
boostorg/compute,perf/perf_thrust_reduce_by_key.cu,.cu,2788,32,1,"{'thrust::': 10, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 10, 'device_vector\\s*<': 5, 'host_vector\\s*<': 2}"
boostorg/compute,perf/perf_thrust_merge.cu,.cu,1947,27,0,"{'thrust::': 8, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 8, 'device_vector\\s*<': 3, 'host_vector\\s*<': 4}"
boostorg/compute,perf/perf_thrust_set_difference.cu,.cu,1872,26,0,"{'thrust::': 8, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 8, 'device_vector\\s*<': 4, 'host_vector\\s*<': 2}"
boostorg/compute,perf/perf_thrust_saxpy.cu,.cu,1900,24,1,"{'thrust::': 8, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 8, 'device_vector\\s*<': 2, 'host_vector\\s*<': 2}"
boostorg/compute,perf/perf_thrust_rotate.cu,.cu,1618,20,0,"{'thrust::': 7, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 7, 'device_vector\\s*<': 2, 'host_vector\\s*<': 1}"
boostorg/compute,perf/perf_thrust_inner_product.cu,.cu,1517,17,0,"{'thrust::': 5, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 5, 'device_vector\\s*<': 2, 'host_vector\\s*<': 2}"
boostorg/compute,perf/perf_thrust_reverse_copy.cu,.cu,1382,16,0,"{'thrust::': 4, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 4, 'device_vector\\s*<': 2, 'host_vector\\s*<': 1}"
boostorg/compute,perf/perf_thrust_sort.cu,.cu,1350,15,1,"{'thrust::': 4, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 4, 'device_vector\\s*<': 1, 'host_vector\\s*<': 1}"
boostorg/compute,perf/perf_thrust_partial_sum.cu,.cu,1383,15,1,"{'thrust::': 4, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 4, 'device_vector\\s*<': 1, 'host_vector\\s*<': 1}"
boostorg/compute,perf/perf_thrust_find.cu,.cu,1857,16,0,"{'thrust::': 5, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 5, 'device_vector\\s*<': 2, 'host_vector\\s*<': 1}"
NVIDIA/VisRTX,devices/rtx/scene/light/HDRI.cu,.cu,11415,45,6,"{'thrust::': 18, '#include\\s*<thrust/': 9, 'thrust\\s*::\\s*\\w+': 18}"
NVIDIA/VisRTX,devices/rtx/frame/Frame.cu,.cu,20551,47,2,"{'thrust::': 22, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 22}"
NVIDIA/VisRTX,tsd/apps/interactive/demos/animated_volume/jacobi3D.cu,.cu,3157,43,2,"{'thrust::': 18, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 18, 'device_vector\\s*<': 2}"
NVIDIA/VisRTX,devices/rtx/scene/surface/geometry/Sphere.cu,.cu,5337,21,2,"{'thrust::': 9, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 9}"
NVIDIA/VisRTX,devices/rtx/frame/Denoiser.cu,.cu,5422,16,2,"{'thrust::': 7, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 7}"
NVIDIA/VisRTX,tsd/apps/interactive/demos/animated_particles/particle_system.cu,.cu,1953,12,2,"{'thrust::': 4, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 4}"
NVIDIA/VisRTX,tsd/src/tsd/rendering/pipeline/passes/detail/parallel_for.h,.h,933,11,2,"{'thrust::': 4, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 4}"
NVIDIA/VisRTX,tsd/src/tsd/rendering/pipeline/passes/AnariSceneRenderPass.cpp,.cpp,8260,8,0,"{'thrust::': 4, 'thrust\\s*::\\s*\\w+': 4}"
NVIDIA/VisRTX,tsd/src/tsd/core/algorithms/detail/computeScalarRangeImpl.hpp,.hpp,1989,8,0,"{'thrust::': 3, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 3}"
NVIDIA/VisRTX,tsd/apps/interactive/demos/animated_volume/SolverControls.cpp,.cpp,6635,2,0,{'#include\\s*<thrust/': 2}
ToruNiina/lbvh,lbvh/bvh.cuh,.cuh,16354,111,13,"{'thrust::': 40, '#include\\s*<thrust/': 15, 'thrust\\s*::\\s*\\w+': 40, 'device_vector\\s*<': 7, 'host_vector\\s*<': 9}"
ToruNiina/lbvh,main.cu,.cu,6101,32,7,"{'thrust::': 15, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 15, 'device_vector\\s*<': 1}"
ToruNiina/lbvh,lbvh/query.cuh,.cuh,10583,14,4,"{'thrust::': 7, 'thrust\\s*::\\s*\\w+': 7}"
ToruNiina/lbvh,lbvh/aabb.cuh,.cuh,4970,13,0,"{'thrust::': 6, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 6}"
ToruNiina/lbvh,README.md,.md,6612,10,2,"{'thrust::': 5, 'thrust\\s*::\\s*\\w+': 5}"
OpenNMT/CTranslate2,src/ops/concat_split_slide_gpu.cu,.cu,9597,58,9,"{'thrust::': 27, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 27}"
OpenNMT/CTranslate2,src/cuda/primitives.cu,.cu,35734,35,7,"{'thrust::': 17, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 17}"
OpenNMT/CTranslate2,src/cuda/helpers.h,.h,13756,20,7,"{'thrust::': 10, 'thrust\\s*::\\s*\\w+': 10}"
OpenNMT/CTranslate2,src/ops/tile_gpu.cu,.cu,2562,15,2,"{'thrust::': 6, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 6}"
OpenNMT/CTranslate2,src/ops/gather_gpu.cu,.cu,4279,9,1,"{'thrust::': 3, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 3}"
OpenNMT/CTranslate2,src/ops/gumbel_max_gpu.cu,.cu,1460,4,1,"{'thrust::': 2, 'thrust\\s*::\\s*\\w+': 2}"
OpenNMT/CTranslate2,src/cuda/utils.h,.h,4241,3,0,"{'thrust::': 1, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 1}"
OpenNMT/CTranslate2,CHANGELOG.md,.md,77531,2,0,"{'thrust::': 1, 'thrust\\s*::\\s*\\w+': 1}"
OpenNMT/CTranslate2,src/ops/dequantize_gpu.cu,.cu,7431,2,0,"{'thrust::': 1, 'thrust\\s*::\\s*\\w+': 1}"
OpenNMT/CTranslate2,src/ops/bias_add_gpu.cu,.cu,3617,2,0,"{'thrust::': 1, 'thrust\\s*::\\s*\\w+': 1}"
NVIDIA/nvbench,examples/axes.cu,.cu,7087,31,0,"{'thrust::': 12, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 12, 'device_vector\\s*<': 6}"
